job_title,company_name,company_location,job_nature,job_skills
Accounting Analyst,Nile Eyewear -,"6th of October, Giza, Egypt ",Full Time,Experienced · 2 - 10 Yrs of Exp · Accounting/Finance · Analyst/Research · Stocks · Inventory Control · Inventory Management · Inventory analysis · Financial Analysis · Finance · Commerce · Accounting
Data Analysis (Sales Coordinator),Abudawood Group Egypt -,"Maadi, Cairo, Egypt ",Full Time,Entry Level · 0 - 2 Yrs of Exp · Business Development · Analyst/Research · Sales/Retail · Analysis · analytical · Analyze · Information Technology (IT) · Data Analysis · Computer Science
Head of Data Analytics,The Address Investments for Real Estate Consultancy -,"New Cairo, Cairo, Egypt ",Full Time,Senior Management · 9+ Yrs of Exp · IT/Software Development · Analyst/Research · Data · Data Analysis · Data Analytics · Information Technology (IT)
Financial Analyst,Leverage -,"Maadi, Cairo, Egypt ",Full Time,Entry Level · 0 - 3 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · analytical · Corporate Finance · Forecasting · Financial Analysis · Reporting
Financial Analyst,Shehab Mazhar -,"Mohandessin, Giza, Egypt ",Full Time,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Accounting · Analysis · Commerce · Corporate Finance · Economics · Finance · Financial Forecasting
Network & Security Senior Analyst,Confidential -,"Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Engineering - Telecom/Technology · Engineering · Networking
Junior Planning and Budgeting Specialist,Tamweely -,"Shubra, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Budgeting · Data Analysis · Finance · Planning · Microsoft Office · MS Office
Chief Financial Officer - Real estate,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Senior Management · 15 - 20 Yrs of Exp · Accounting/Finance · Accounting · CFO · CMA · Data Analysis · Finance · Financial Analysis · Financial · Financial Management · Management
Research Assistant,Söderhub -,"San Stefano, Alexandria, Egypt ",Full Time,Entry Level · 2 - 4 Yrs of Exp · Administration · Analyst/Research · Administration · Analysis · business · Data Analysis · English · market · Market Research · Marketing
Data Scientist,Confidential -,"Giza, Egypt ",Work From Home,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · data scientist · Engineering · Data · Information Technology (IT) · Python
Senior Data Scientist,Confidential -,"New Nozha, Cairo, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · R&D/Science · Business Development · Analyst/Research · Analysis · Data Science · Information Technology (IT) · Engineering · Computer Science · Software Engineering · Software Development
CFO,Confidential -,"Abu Rawash, Giza, Egypt ",Full Time,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · Accounting · Corporate · Data Analysis · Finance · Financial · Financial Analysis · Financial Management
Material Planner,Happy Vision -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 4 - 10 Yrs of Exp · Logistics/Supply Chain · Analyst/Research · Purchasing/Procurement · Analytical Skills · Communication skills · Microsoft Office · Material Planning · Supply Chain · Supply · Data Analysis
Data Researcher Specialists,Dealtio -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level · 1 - 2 Yrs of Exp · Analyst/Research · E-Marketing · Market Research · English · Social Media · Training
Senior Officer - Product Support,Almosafer -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 2+ Yrs of Exp · Business Development · Analyst/Research · Tourism/Travel · Data Management · excel · Power BI · Microsoft Office · Analysis · Strategic Thinking · Critical Thinking
Workforce Supervisor,Safa International Travel -,"Dokki, Giza, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · males_only · Customer Service/Support · Operations/Management · Analyst/Research · Customer Support · Analysis · Data Analysis · workforce · Work Planning · Forecasting · Manpower Planning
Head of Equity Research,Tycoon Securities -,"Heliopolis, Cairo, Egypt ",Full Time,Manager · 4+ Yrs of Exp · Accounting/Finance · Analyst/Research · equity · Economics · Equity Research · Finance · Market Research · MBA · CFA · Research
Statistician,Nile University -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Statistics · Research · Analysis
Pre Sales Engineer,United Delta Systems -,"Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Communication · Engineering · English · Software · Software Development · Software Engineering
PM Web Consultant,HSE Contractors for CPM Scheduling Consultants -,"Dokki, Giza, Egypt ",Part Time,Experienced · 2 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Other · Communication skills · Computer Science · CSS3 · Development · Git · Implementation · Engineering
Workforce Management Specialist,Centro CDX -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · RTM · BI · Forcasting · Management · Problem Solving · Skills · Microsoft Office
Tax Accountant,EGYGAB Developments -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Banking · Accounting · Accounting Software · Bookkeeping · Finance · excel · Tax · tax accountant
Cost Accountant,Falcon For Industry And Import -,"Sharqia, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · accountant · excel · Finance · Financial Analysis
Market Researcher - English language Speaker,Infotech -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Customer Service/Support · Analyst/Research · Communication · Communication skills · Research · English · Computer Skills · Customer Service · Customer Care · Customer Support
Medical Specialist (Research) - Alexandria,Caduceus Lane -,"Alexandria, Egypt ",Full Time,Experienced · 3+ Yrs of Exp · Medical/Healthcare · Analyst/Research · Pharmaceutical · Research · Education · Writing · Pharmacy · Analysis · Biomedical Sciences · Clinical Research
Agriculture R&D Specialist,Confidential -,"Obour City, Cairo, Egypt ",Full Time,Experienced · 0 - 4 Yrs of Exp · R&D/Science · Analyst/Research · Analysis · Computer Skills · Design · English · Pharmacy · R&amp;D · Research · Science
Full Stack Developer ( +5 Years ),Contellect -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Design · Development · DevOps · Engineering · Information Technology (IT) · Java
Mean Stack Developer ( +5 Years ),Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Design · Development · DevOps · Engineering · Information Technology (IT) · Java
Chief Technology Officer - CTO - ( American Company Remotely ),AZLink Logistics Solutions Corp -,"Dallas, United States ",Full Time,Senior Management · 10+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Full Stack · Information Technology (IT) · Java · JavaScript · jQuery · Software Development
Full Stack Developer ( PHP - Python ),Amriya Pharmaceutical Industries -,"Ameria, Alexandria, Egypt ",Full Time,Senior Management · 2 - 3 Yrs of Exp · IT/Software Development · Computer Engineering · Information Technology (IT) · Python · PHP
Cost Accountant,Sinai University -,"Katameya, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Cost Accountant · Budget Control · Budgeting · analytical · Accounting Software · Cost · Microsoft Excel
Performance Marketing Specialist,Happy Vision -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 3 - 8 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · business · Communication skills · Marketing · Microsoft Office · Social Media · Ecommerce · Advertising Media
Software Developer (.Net),BI-Technologies -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Web Development · Dynamics · Microsoft Dynamics · AX · X++ · ASP.NET · .NET
Senior Full Stack .Net/Angular Developer,Three Pillars Digitalization Company -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Angular · .Net · .Net Development · Agile · API · OOP · Computer Science · SQL
Chief Financial Officer,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Senior Management · 15 - 20 Yrs of Exp · males_only · Accounting/Finance · Accounting · CFO · Finance · Financial Analysis · Financial Management
"Full Stack Developer (.NET core , Angular 8+)",Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · OOP · ASP.NET · C#.Net · ADO.NET · SQL
Senior Internal Auditor,Egypt Gold  -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Auditing · Internal Auditing · Finance · Accounting · Financial Analysis · Microsoft Office · English
Backend Developer -Alexandria,Caduceus Lane -,"Alexandria, Egypt ",Full Time,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · Computer Science · PHP · javaScript · MySQL · Laravel
Foreign Purchasing Senior Specialist,Delta Pharma Egypt -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level · 3 - 5 Yrs of Exp · Medical/Healthcare · Pharmaceutical · Purchasing/Procurement · Purchasing · Logistics · Supply Chain · Pharmacy · Pharmaceutical · Medical · Medicine
Technical Support Engineer,Confidential -,"Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Technical Support · Design · WAN · DNS · Configuration · Information Technology (IT) · LAN
